experiment,fold,feature,importance
E4_LOOCV,2,cutoff_value_feature,0.0
E4_LOOCV,2,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,2,next_receive_day_gap_feature,0.0
E4_LOOCV,2,receive_weekday_code,0.0
E4_LOOCV,2,receive_week_of_month,0.0
E4_LOOCV,2,receive_day_of_month,0.032824288042099393
E4_LOOCV,3,cutoff_rule,0.0
E4_LOOCV,3,receive_day_code,0.0
E4_LOOCV,3,receive_schedule,0.0
E4_LOOCV,3,receive_date_schedule_status,0.0
E4_LOOCV,3,receive_month_end_flag,0.0
E4_LOOCV,3,limited_receive_schedule_flag,0.5612591307470657
E4_LOOCV,3,cutoff_value_feature,0.0
E4_LOOCV,3,days_to_cutoff_feature,0.4061931200286757
E4_LOOCV,3,next_receive_day_gap_feature,0.0
E4_LOOCV,3,receive_weekday_code,0.0
E4_LOOCV,3,receive_week_of_month,0.0
E4_LOOCV,3,receive_day_of_month,0.03254774922425865
E4_LOOCV,4,cutoff_rule,0.0
E4_LOOCV,4,receive_day_code,0.5685689904524986
E4_LOOCV,4,receive_schedule,0.0
E4_LOOCV,4,receive_date_schedule_status,0.0
E4_LOOCV,4,receive_month_end_flag,0.0
E4_LOOCV,4,limited_receive_schedule_flag,0.0
E4_LOOCV,4,cutoff_value_feature,0.0
E4_LOOCV,4,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,4,next_receive_day_gap_feature,0.0
E4_LOOCV,4,receive_weekday_code,0.0
E4_LOOCV,4,receive_week_of_month,0.0
E4_LOOCV,4,receive_day_of_month,0.03282428804209939
E4_LOOCV,5,cutoff_rule,0.0
E4_LOOCV,5,receive_day_code,0.0
E4_LOOCV,5,receive_schedule,0.0
E4_LOOCV,5,receive_date_schedule_status,0.0
E4_LOOCV,5,receive_month_end_flag,0.0
E4_LOOCV,5,limited_receive_schedule_flag,0.5685689904524985
E4_LOOCV,5,cutoff_value_feature,0.0
E4_LOOCV,5,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,5,next_receive_day_gap_feature,0.0
E4_LOOCV,5,receive_weekday_code,0.0
E4_LOOCV,5,receive_week_of_month,0.0
E4_LOOCV,5,receive_day_of_month,0.032824288042099393
E4_LOOCV,6,cutoff_rule,0.0
E4_LOOCV,6,receive_day_code,0.6031026605544183
E4_LOOCV,6,receive_schedule,0.0
E4_LOOCV,6,receive_date_schedule_status,0.0
E4_LOOCV,6,receive_month_end_flag,0.0
E4_LOOCV,6,limited_receive_schedule_flag,0.0
E4_LOOCV,6,cutoff_value_feature,0.03330713524271925
E4_LOOCV,6,days_to_cutoff_feature,0.3635902042028625
