experiment,method,n,accuracy,precision_urgent,recall_urgent,f1_urgent,f1_macro,true_negative,false_positive,false_negative,true_positive
E1_80_20,Rule-Based,20,1.0,1.0,1.0,1.0,1.0,14,0,0,6
E1_80_20,Decision Tree,20,1.0,1.0,1.0,1.0,1.0,14,0,0,6
E2_70_30,Rule-Based,30,0.9333333333333333,1.0,0.7777777777777778,0.875,0.9147727272727273,21,0,2,7
E2_70_30,Decision Tree,30,0.9666666666666667,1.0,0.8888888888888888,0.9411764705882353,0.9589603283173734,21,0,1,8
E3_5_Fold_CV,Rule-Based,99,0.9393939393939394,1.0,0.8,0.8888888888888888,0.9236111111111112,69,0,6,24
E3_5_Fold_CV,Decision Tree,99,0.9595959595959596,0.9642857142857143,0.9,0.9310344827586207,0.951231527093596,68,1,3,27
E4_LOOCV,Rule-Based,99,0.9393939393939394,1.0,0.8,0.8888888888888888,0.9236111111111112,69,0,6,24
E4_LOOCV,Decision Tree,99,0.9797979797979798,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9760869565217392,68,1,1,29
