invoice_no,customer_name_masking,receive_date,sent_date,Driver,cutoff_type,cutoff_rule,cutoff_value,receive_day_code,receive_schedule,days_to_cutoff,expert_label,expert_reason,_source_excel_row,admin_ground_truth,receive_weekday_code,receive_weekday_name,receive_day_of_month,receive_week_of_month,receive_month_end_flag,limited_receive_schedule_flag,next_receive_day_gap_decision_time,receive_date_schedule_status,cutoff_date_decision_time,cutoff_derivation_note,days_to_cutoff_source,days_to_cutoff_decision_time,cutoff_value_feature,days_to_cutoff_feature,next_receive_day_gap_feature,observation_id
S202605-2103,CUST235,2026-05-19,2026-05-19,ROHMAN,End of month,END_MONTH,0.0,"1,2,3,4,5",Everyday,8,NORMAL,LONG_TIME_TO_CUTOFF,15,Not Urgent,2,Tuesday,19,3,No,No,0.0,VALID_RECEIVE_DAY,2026-05-29,END_MONTH; last workday of receive month,8,8.0,0.0,8.0,0.0,S202605-2103
S202605-1766,CUST394,2026-05-19,2026-05-20,ARI,Max on 28th in every month,MONTHLY_DATE,28.0,"3,5",Wednesday & Friday,8,HIGH,LIMITED_RECEIVE_DAY,16,Urgent,2,Tuesday,19,3,No,Yes,1.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,2026-05-28,MONTHLY_DATE; cutoff date selected from receive_date month or next month,8,7.0,28.0,7.0,1.0,S202605-1766
93115446,CUST380,2026-05-19,2026-05-19,ARI,H+1 in the next month,NEXT_MONTH_DATE,1.0,"1,2,3,4,5",Everyday,9,NORMAL,LONG_TIME_TO_CUTOFF,17,Not Urgent,2,Tuesday,19,3,No,No,0.0,VALID_RECEIVE_DAY,2026-06-01,NEXT_MONTH_DATE; date in next month,9,9.0,1.0,9.0,0.0,93115446
93115889,CUST179,2026-05-19,2026-05-19,ARI,Max on 28th in every month,MONTHLY_DATE,28.0,"1,2,3,4,5",Everyday,8,NORMAL,LONG_TIME_TO_CUTOFF,18,Not Urgent,2,Tuesday,19,3,No,No,0.0,VALID_RECEIVE_DAY,2026-05-28,MONTHLY_DATE; cutoff date selected from receive_date month or next month,8,7.0,28.0,7.0,0.0,93115889
S202605-2089,CUST220,2026-05-19,2026-05-19,SAPX,H+5 in the next month,NEXT_MONTH_DATE,5.0,"1,2,3,4,5",Everyday,13,NORMAL,LONG_TIME_TO_CUTOFF,19,Not Urgent,2,Tuesday,19,3,No,No,0.0,VALID_RECEIVE_DAY,2026-06-05,NEXT_MONTH_DATE; date in next month,13,13.0,5.0,13.0,0.0,S202605-2089
S202605-2379,CUST308,2026-05-19,2026-05-19,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,20,Not Urgent,2,Tuesday,19,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-2379
S202605-2088,CUST168,2026-05-19,2026-05-19,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,21,Not Urgent,2,Tuesday,19,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-2088
S202605-2086,CUST503,2026-05-19,2026-05-19,AMIT,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,22,Not Urgent,2,Tuesday,19,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-2086
S202605-2091,CUST259,2026-05-19,2026-05-19,ARI,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,23,Not Urgent,2,Tuesday,19,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-2091
S202605-2575,CUST498,2026-05-20,2026-05-20,SAPX,End of month ,END_MONTH,0.0,"1,2,3,4,5",Everyday,7,NORMAL,LONG_TIME_TO_CUTOFF,24,Not Urgent,3,Wednesday,20,3,No,No,0.0,VALID_RECEIVE_DAY,2026-05-29,END_MONTH; last workday of receive month,7,7.0,0.0,7.0,0.0,S202605-2575
