invoice_no,customer_name_masking,receive_date,sent_date,Driver,cutoff_type,cutoff_rule,cutoff_value,receive_day_code,receive_schedule,days_to_cutoff,expert_label,expert_reason,_source_excel_row,admin_ground_truth,duplicate_action,representative_source_excel_row,duplicate_handling_reason
S202605-0609,CUST018,2026-05-21,2026-05-22,ARI,Max on 28th in every month,MONTHLY_DATE,28.0,"1,2,3,4,5",Everyday,5,NORMAL,LONG_TIME_TO_CUTOFF,59,Not Urgent,kept_representative,59,"One representative record kept per invoice_no; earliest receive_date is preferred, then earliest sent_date, then first source row."
S202605-0609,CUST018,2026-05-22,2026-05-22,ARI,Max on 28th in every month,MONTHLY_DATE,28.0,"1,2,3,4,5",Everyday,4,NORMAL,LONG_TIME_TO_CUTOFF,64,Not Urgent,removed_before_split,59,"One representative record kept per invoice_no; earliest receive_date is preferred, then earliest sent_date, then first source row."
S202605-0634,CUST307,2026-05-22,2026-05-22,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,62,Not Urgent,kept_representative,62,"One representative record kept per invoice_no; earliest receive_date is preferred, then earliest sent_date, then first source row."
S202605-0634,CUST307,2026-05-22,2026-05-22,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,72,Not Urgent,removed_before_split,62,"One representative record kept per invoice_no; earliest receive_date is preferred, then earliest sent_date, then first source row."
