invoice_no,customer_name,customer_name_masking,receive_date,sent_date,Driver,cutoff_type,cutoff_rule,cutoff_value,receive_day_code,receive_schedule,days_to_cutoff,next_receive_day_gap,missed_receive_schedule,month_end_flag,weekday_receive,expert_label,expert_reason,rule_based_label,rule_based_reason,cutoff_value_feature,receive_date_feature,receive_day_code_feature,next_receive_day_gap_derived,next_receive_day_gap_experiment,missed_receive_schedule_derived,missed_receive_schedule_experiment,month_end_flag_derived,month_end_flag_experiment,Prediction_RuleBased,RuleBased_RuleID,RuleBased_Reason,Experiment_Split,Prediction_DT
S202605-0412,PT. RKN FORGE INDONESIA,CUST281,2026-05-21,2026-05-21,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-21,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-0557,PT. ADVICS MANUFACTURING INDONESIA,CUST013,2026-05-21,2026-05-21,ROHMAN,End of month,END_MONTH,0.0,"2,4,5","Tuesday,Thursday & Friday",7,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,0,2026-05-21,"2,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,HIGH,R7,receive_schedule terbatas dan next_receive_day_gap <= 1.,train,NORMAL
S202605-0419,PT. G-TEKT INDONESIA MANUFACTURING,CUST101,2026-05-21,2026-05-22,ROHMAN,Max on 3th in the next month,NEXT_MONTH_DATE,3.0,"1,3,5","Monday, Wednesday, Friday",10,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,3,2026-05-21,"1,3,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,HIGH,R7,receive_schedule terbatas dan next_receive_day_gap <= 1.,train,NORMAL
S202605-0586,PT. ELRINGKLINGER INDONESIA,CUST069,2026-05-21,2026-05-21,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,4","Monday, Tuesday & Thursday",999,,No (On Schedule),,,HIGH,LIMITED_RECEIVE_DAY,,,0,2026-05-21,"1,2,4",0.0,0.0,No (On Schedule),No (On Schedule),No,No,HIGH,R7,receive_schedule terbatas dan next_receive_day_gap <= 1.,train,HIGH
S202605-0587,PT. TJFORGE INDONESIA,CUST345,2026-05-21,2026-05-21,ROHMAN,3 working days in next month,NEXT_MONTH_DATE,3.0,"2,4",Tuesday & Thursday,9,,No (On Schedule),,,HIGH,LIMITED_RECEIVE_DAY,,,3,2026-05-21,"2,4",0.0,0.0,No (On Schedule),No (On Schedule),No,No,HIGH,R7,receive_schedule terbatas dan next_receive_day_gap <= 1.,train,HIGH
S202605-0590,PT. SANDEN INDONESIA,CUST287,2026-05-21,2026-05-21,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-21,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-0591,PT. FUJI TECHNICA INDONESIA,CUST084,2026-05-21,2026-05-21,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-21,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",test,NORMAL
S202605-0723,PT SHIMA TRADING INDONESIA,CUST498,2026-05-21,2026-05-22,SAPX,End of month,END_MONTH,0.0,"1,2,3,4,5",Everyday,6,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,0,2026-05-21,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,train,NORMAL
S202605-0609,PT. AKS PRECISION BALL INDONESIA,CUST018,2026-05-21,2026-05-22,ARI,Max on 28th in every month,MONTHLY_DATE,28.0,"1,2,3,4,5",Everyday,6,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,28,2026-05-21,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,train,NORMAL
S202605-0757,PT. YAMAHA INDONESIA MOTOR MFG-HEAD OFF,CUST381,2026-05-21,2026-05-21,AMIT,"Every 11th ,12th, 21th,22th,28th,29th in every month",MONTHLY_DATE,,,Based on Schedule Payment,1,,No (On Schedule),,,HIGH,CUTOFF_TODAY,,,-1,2026-05-21,MISSING,,,,No (On Schedule),No,No,HIGH,R4,cutoff bulanan atau akhir bulan berada dalam 1-2 hari.,test,HIGH
93101903,PT. DAYA KOBELCO C.M.I ( DEPOT ),CUST058,2026-05-21,2026-05-21,ARI,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-21,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-0634,PT. SHIRAISHI CALCIUM INDONESIA IND,CUST307,2026-05-22,2026-05-22,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-22,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-0769,PT. KAYABA INDONESIA,CUST179,2026-05-22,2026-05-22,ARI,Max on 28th in every month,MONTHLY_DATE,28.0,"1,2,3,4,5",Everyday,5,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,28,2026-05-22,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,test,NORMAL
S202605-0609,PT. AKS PRECISION BALL INDONESIA,CUST018,2026-05-22,2026-05-22,ARI,Max on 28th in every month,MONTHLY_DATE,28.0,"1,2,3,4,5",Everyday,5,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,28,2026-05-22,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,train,NORMAL
S202605-0635,PT. YAMAHA MOTOR ELECTRONICS INDONESIA,CUST382,2026-05-22,2026-05-22,ARI,Max on 25th in every month,MONTHLY_DATE,25.0,"1,2,3,4,5",Everyday,2,,No (On Schedule),,,HIGH,CUTOFF_NEAR,,,25,2026-05-22,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,HIGH,R4,cutoff bulanan atau akhir bulan berada dalam 1-2 hari.,train,HIGH
S202605-0722,PT. TVS MOTOR COMPANY INDONESIA (FF),CUST367,2026-05-22,2026-05-22,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-22,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",test,NORMAL
S202605-0715,PT. KYORAKU BLOWMOLDING INDONESIA,CUST196,2026-05-22,2026-05-22,ROHMAN,4 working days in next month,MONTHLY_DATE,4.0,"2,4","Tuesday, Thursday",10,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,4,2026-05-22,"2,4",4.0,4.0,Yes (Missed Schedule),Yes (Missed Schedule),No,No,HIGH,R1,missed_receive_schedule = Yes; jadwal penerimaan pelanggan telah terlewat.,train,NORMAL
S202605-0633,PT. RKN FORGE INDONESIA,CUST281,2026-05-22,2026-05-22,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-22,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",test,NORMAL
S202605-0720,PT. SANNOHASHI MANUFACTURING INDONESIA,CUST291,2026-05-22,2026-05-22,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-22,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-0712,PT. FUJI KINZOKU INDONESIA,CUST079,2026-05-22,2026-05-22,ROHMAN,End of month,END_MONTH,0.0,"1,2,3,4,5",Everyday,6,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,0,2026-05-22,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,train,NORMAL
S202605-0325,PT ASTRA INTERNATIONAL TBK.,CUST493,2026-05-22,2026-05-22,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-22,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-0634,PT. SHIRAISHI CALCIUM INDONESIA IND,CUST307,2026-05-22,2026-05-22,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-22,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",test,NORMAL
S202605-0632,PT. ELRINGKLINGER INDONESIA,CUST069,2026-05-22,2026-05-25,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,4","Monday, Tuesday & Thursday",999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-22,"1,2,4",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,HIGH,R7,receive_schedule terbatas dan next_receive_day_gap <= 1.,train,NORMAL
S202605-0721,PT. TSUZUKI INDONESIA MANUFACTURING,CUST366,2026-05-22,2026-05-22,ROHMAN,End of month,END_MONTH,0.0,"1,2,3",Monday - Wednesday,6,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,0,2026-05-22,"1,2,3",3.0,3.0,Yes (Missed Schedule),Yes (Missed Schedule),No,No,HIGH,R1,missed_receive_schedule = Yes; jadwal penerimaan pelanggan telah terlewat.,train,NORMAL
S202605-0710,PT. F.TECH INDONESIA,CUST074,2026-05-22,2026-05-22,ROHMAN,3 working days in next month,NEXT_MONTH_DATE,3.0,"2,4",Tuesday & Thursday,9,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,3,2026-05-22,"2,4",4.0,4.0,Yes (Missed Schedule),Yes (Missed Schedule),No,No,HIGH,R1,missed_receive_schedule = Yes; jadwal penerimaan pelanggan telah terlewat.,test,NORMAL
S202605-0717,PT. NAMICOH INDONESIA COMPONENT,CUST238,2026-05-22,2026-05-22,ARI,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-22,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",test,NORMAL
S202605-0628,PT. WAHANA KREATIF INDONESIA,CUST375,2026-05-25,2026-05-25,ARI,Max on 7th in the nextmonth (Working day),NEXT_MONTH_DATE,7.0,"1,2,3,4,5",Everyday,10,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,7,2026-05-25,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,test,NORMAL
S202605-0629,PT SANGWOO INDONESIA,CUST402,2026-05-25,2026-05-25,ARI,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-25,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-0630,PT INTECS TEKNIKATAMA INDUSTRI,CUST400,2026-05-25,2026-05-25,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-25,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",test,NORMAL
S202605-0767,PT. SHIRAISHI CALCIUM INDONESIA,CUST308,2026-05-25,2026-05-25,AMIT,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-25,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-0719,PT. SAITAMA STAMPING INDONESIA,CUST284,2026-05-25,2026-05-26,ROHMAN,Max on 3rd in the nextmonth,NEXT_MONTH_DATE,3.0,"2,4",Tuesday & Thursday,8,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,3,2026-05-25,"2,4",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,HIGH,R7,receive_schedule terbatas dan next_receive_day_gap <= 1.,test,HIGH
S202605-0413,PT. YAMAHA MOTOR ELECTRONICS INDONESIA,CUST382,2026-05-25,2026-05-25,ARI,Max on 25th in every month,MONTHLY_DATE,25.0,"1,2,3,4,5",Everyday,0,,No (On Schedule),,,HIGH,CUTOFF_TODAY,,,25,2026-05-25,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,HIGH,R3,cutoff_rule != NO_CUTOFF dan days_to_cutoff = 0; hari observasi bertepatan dengan cutoff.,train,HIGH
S202605-0766,PT. ASTRA HONDA MOTOR,CUST031,2026-05-25,2026-05-26,AMIT,"Submit dropbox maks date of 15 in the next month (M+1, H+15)",NEXT_MONTH_DATE,15.0,"1,2,3,4,5",Everyday,16,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,15,2026-05-25,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,NORMAL,R11,cutoff masih lebih dari 10 hari dan tidak memenuhi R1-R9.,train,NORMAL
93103070,PT. EUROKARS MOTOR INDONESIA,CUST073,2026-05-25,2026-05-25,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-25,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-0830,PT NEOMAX MAGNETIC TECHNOLOGIES INDONESIA,CUST502,2026-05-25,2026-05-25,SAPX,Date 1 in the next month,NEXT_MONTH_DATE,1.0,"1,2,3,4,5",Everyday,6,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,1,2026-05-25,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,train,NORMAL
S202605-0772,PT. KAYABA INDONESIA,CUST179,2026-05-25,2026-05-25,ARI,Max on 28th in every month,MONTHLY_DATE,28.0,"1,2,3,4,5",Everyday,4,,No (On Schedule),,,HIGH,CUTOFF_NEAR,,,28,2026-05-25,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,HIGH,R6,month_end_flag = Yes dan days_to_cutoff <= 4; periode akhir bulan mendekati cutoff.,train,HIGH
S202605-0724,PT. KOMATSU INDONESIA,CUST186,2026-05-25,2026-05-25,by system,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-25,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-0550,PT.TERAOKA SEISAKUSHO INDONESIA (BO,CUST342,2026-05-26,2026-05-26,ROHMAN,First week of next month,NEXT_MONTH_FIRST_WEEK,1.0,"1,2,3,4,5",Everyday,9,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,1,2026-05-26,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,train,NORMAL
S202605-0750,PT. HEXINDO ADIPERKASA TBK,CUST109,2026-05-26,2026-05-27,AMIT,No cut off,NO_CUTOFF,0.0,3,Wednesday,999,,No (On Schedule),,,HIGH,LIMITED_RECEIVE_DAY,,,0,2026-05-26,3,0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,HIGH,R7,receive_schedule terbatas dan next_receive_day_gap <= 1.,train,HIGH
S202605-0736,PT. HEXINDO ADIPERKASA TBK,CUST109,2026-05-26,2026-05-27,AMIT,No cut off,NO_CUTOFF,0.0,3,Wednesday,999,,No (On Schedule),,,HIGH,LIMITED_RECEIVE_DAY,,,0,2026-05-26,3,0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,HIGH,R7,receive_schedule terbatas dan next_receive_day_gap <= 1.,test,HIGH
S202605-0735,PT. HEXINDO ADIPERKASA TBK,CUST109,2026-05-26,2026-05-27,AMIT,No cut off,NO_CUTOFF,0.0,3,Wednesday,999,,No (On Schedule),,,HIGH,LIMITED_RECEIVE_DAY,,,0,2026-05-26,3,0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,HIGH,R7,receive_schedule terbatas dan next_receive_day_gap <= 1.,train,HIGH
S202605-0734,PT. HEXINDO ADIPERKASA TBK,CUST109,2026-05-26,2026-05-27,AMIT,No cut off,NO_CUTOFF,0.0,3,Wednesday,999,,No (On Schedule),,,HIGH,LIMITED_RECEIVE_DAY,,,0,2026-05-26,3,0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,HIGH,R7,receive_schedule terbatas dan next_receive_day_gap <= 1.,train,HIGH
93106212,PT. HONDA PROSPECT MOTOR (HEAD OFFICE),CUST128,2026-05-26,2026-05-26,ROHMAN,3 working days in next month,NEXT_MONTH_DATE,3.0,"1,2,3,4,5",Everyday,7,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,3,2026-05-26,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,test,NORMAL
93106374,PT. HONDA PROSPECT MOTOR (HEAD OFFICE),CUST128,2026-05-26,2026-05-26,ROHMAN,3 working days in next month,NEXT_MONTH_DATE,3.0,"1,2,3,4,5",Everyday,7,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,3,2026-05-26,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,train,NORMAL
S202604-2405,JO.SHIMIZU-ADHI KARYA MRT CP-202 PROJECT,CUST008,2026-05-26,2026-05-28,AMIT,Date 5 in the next month,NEXT_MONTH_DATE,5.0,"1,2,3,4,5",Everyday,9,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,5,2026-05-26,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,train,NORMAL
S202605-0360,JO.SHIMIZU-ADHI KARYA MRT CP-202 PROJECT,CUST008,2026-05-26,2026-05-28,AMIT,Date 5 in the next month,NEXT_MONTH_DATE,5.0,"1,2,3,4,5",Everyday,9,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,5,2026-05-26,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,test,NORMAL
S202605-0773,PT. INTI KARYA SEMESTA,CUST155,2026-05-26,2026-05-26,AMIT,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-26,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",test,NORMAL
S202605-0858,PT. GUNATAMA SUKSES MANDIRI,CUST102,2026-05-26,2026-05-26,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-26,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-2098,PT. YAMAHA INDONESIA MOTOR MFG-HEAD OFF,CUST381,2026-05-29,2026-05-29,AMIT,"Every 11th ,12th, 21th,22th,28th,29th in every month",MONTHLY_DATE,,,Based on Schedule Payment,0,,No (On Schedule),,,HIGH,CUTOFF_TODAY,,,-1,2026-05-29,MISSING,,,,No (On Schedule),Yes,Yes,HIGH,R3,cutoff_rule != NO_CUTOFF dan days_to_cutoff = 0; hari observasi bertepatan dengan cutoff.,train,HIGH
S202605-0707,PT. HONDA PRECISION PARTS MANUFACTURING,CUST127,2026-05-29,2026-05-29,ROHMAN,Max 3 working days before end of month,MONTHLY_DATE,,"1,2,3,4,5",Everyday,0,,No (On Schedule),,,HIGH,OVERDUE_CUTOFF,,,-1,2026-05-29,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,HIGH,R3,cutoff_rule != NO_CUTOFF dan days_to_cutoff = 0; hari observasi bertepatan dengan cutoff.,train,HIGH
S202605-0859,PT. INDONEKA LANCAR JAYA,CUST142,2026-05-29,2026-06-02,AMIT,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-29,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",test,NORMAL
S202605-0764,PT. ROKI INDONESIA,CUST283,2026-05-29,2026-05-29,ARI,3 days in next month (Bukan hari kerja),NEXT_MONTH_DATE,3.0,"1,2,3,4,5",Everyday,4,,No (On Schedule),,,HIGH,CUTOFF_NEAR,,,3,2026-05-29,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,HIGH,R6,month_end_flag = Yes dan days_to_cutoff <= 4; periode akhir bulan mendekati cutoff.,train,HIGH
S202605-1788,PT. ASTRA HONDA MOTOR,CUST031,2026-05-29,2026-05-29,AMIT,"Submit dropbox maks date of 15 in the next month (M+1, H+15)",NEXT_MONTH_DATE,15.0,"1,2,3,4,5",Everyday,12,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,15,2026-05-29,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,NORMAL,R11,cutoff masih lebih dari 10 hari dan tidak memenuhi R1-R9.,train,NORMAL
S202605-0834,PT. KASIH SEJAHTERA MANDIRI,CUST176,2026-05-29,2026-05-29,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-29,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-1768,PT. RISVATAMA LARAS,CUST403,2026-05-29,2026-05-29,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-29,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),Yes,Yes,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-0708,PT. SURYAMAS GEMILANG LUBRICANT,CUST328,2026-05-29,2026-06-03,AMIT,No cut off,NO_CUTOFF,0.0,3,Wednesday,999,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,0,2026-05-29,3,0.0,0.0,No (On Schedule),No (On Schedule),No,No,HIGH,R7,receive_schedule terbatas dan next_receive_day_gap <= 1.,train,NORMAL
S202605-1800,PT. PROBAN OSTBURG TRISAKTI,CUST276,2026-05-29,2026-06-02,AMIT,Max on 5th of the nextmonth,NEXT_MONTH_DATE,5.0,"1,2,3","Monday, Tuesday, Wednesday",6,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,5,2026-05-29,"1,2,3",0.0,0.0,No (On Schedule),No (On Schedule),No,No,HIGH,R7,receive_schedule terbatas dan next_receive_day_gap <= 1.,train,NORMAL
S202605-0794,PT. ASTRA HONDA MOTOR,CUST031,2026-05-29,2026-06-02,AMIT,"Submit dropbox maks date of 15 in the next month (M+1, H+15)",NEXT_MONTH_DATE,15.0,"1,2,3,4,5",Everyday,12,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,15,2026-05-29,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R11,cutoff masih lebih dari 10 hari dan tidak memenuhi R1-R9.,train,NORMAL
