invoice_no,customer_name,customer_name_masking,receive_date,sent_date,Driver,cutoff_type,cutoff_rule,cutoff_value,receive_day_code,receive_schedule,days_to_cutoff,next_receive_day_gap,missed_receive_schedule,month_end_flag,weekday_receive,expert_label,expert_reason,rule_based_label,rule_based_reason,cutoff_value_feature,receive_date_feature,receive_day_code_feature,next_receive_day_gap_derived,next_receive_day_gap_experiment,missed_receive_schedule_derived,missed_receive_schedule_experiment,month_end_flag_derived,month_end_flag_experiment,Prediction_RuleBased,RuleBased_RuleID,RuleBased_Reason,Experiment_Split,Prediction_DT
S202605-1314,PT. ARAI INDONESIA MANUFACTURING,CUST024,2026-05-19,2026-05-19,ROHMAN,End of month,END_MONTH,0.0,"1,2,3,4,5",Everyday,9,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,0,2026-05-19,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,train,NORMAL
S202605-2103,PT. MUROTECH INDONESIA,CUST235,2026-05-19,2026-05-19,ROHMAN,End of month,END_MONTH,0.0,"1,2,3,4,5",Everyday,9,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,0,2026-05-19,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,train,NORMAL
S202605-1766,PT.SUMIDEN SINTERED COMPONENTS INDONESIA,CUST394,2026-05-19,2026-05-20,ARI,Max on 28th in every month,MONTHLY_DATE,28.0,"3,5",Wednesday & Friday,8,,No (On Schedule),,,HIGH,LIMITED_RECEIVE_DAY,,,28,2026-05-19,"3,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,HIGH,R7,receive_schedule terbatas dan next_receive_day_gap <= 1.,train,HIGH
93115446,PT. YAMAHA INDONESIA MOTOR MFG,CUST380,2026-05-19,2026-05-19,ARI,1 working days in next month,NEXT_MONTH_WORKDAY,1.0,"1,2,3,4,5",Everyday,10,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,1,2026-05-19,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,train,NORMAL
93115889,PT. KAYABA INDONESIA,CUST179,2026-05-19,2026-05-19,ARI,Max on 28th in every month,MONTHLY_DATE,28.0,"1,2,3,4,5",Everyday,8,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,28,2026-05-19,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,train,NORMAL
S202605-2089,PT. MITSUBISHI KRAMA YUDHA MOTOR & MFG,CUST220,2026-05-19,2026-05-19,SAPX,5 working days in next month,NEXT_MONTH_WORKDAY,5.0,"1,2,3,4,5",Everyday,14,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,5,2026-05-19,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R11,cutoff masih lebih dari 10 hari dan tidak memenuhi R1-R9.,train,NORMAL
S202605-2379,PT. SHIRAISHI CALCIUM INDONESIA,CUST308,2026-05-19,2026-05-19,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-19,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",test,NORMAL
S202605-2088,PT. JFE SHOJI INDONESIA,CUST168,2026-05-19,2026-05-19,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-19,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-2086,PT SMESSINDO LUBRITECH,CUST503,2026-05-19,2026-05-19,AMIT,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-19,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-2091,PT. O WELL INDONESIA,CUST259,2026-05-19,2026-05-19,ARI,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-19,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-2575,PT SHIMA TRADING INDONESIA,CUST498,2026-05-20,2026-05-20,SAPX,End of month ,END_MONTH,0.0,"1,2,3,4,5",Everyday,8,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,0,2026-05-20,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,train,NORMAL
S202605-1763,PT. SHIRAISHI CALCIUM INDONESIA IND,CUST307,2026-05-20,2026-05-20,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-20,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-2484,PT. VUTEQ INDONESIA,CUST374,2026-05-20,2026-05-20,SAPX,End of month,END_MONTH,0.0,"1,2,3,4,5",Everyday,8,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,0,2026-05-20,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,train,NORMAL
S202605-1769,PT INTECS TEKNIKATAMA INDUSTRI,CUST400,2026-05-20,2026-05-20,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-20,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",test,NORMAL
